ArticleId,Text,Category
1289,howard unveils election platform the conservatives would stand up for the  forgotten majority   michael howard pledged as he unveiled the first part of the tory election manifesto.  the tory leader argued there was a mass of people whom he says feel let down by tony blair and who share tory values. in the foreword to the manifesto  he promises to focus on restoring order  trying to lower taxes and giving power back to the people. labour says the document offers only a return to a  failed tory past . the liberal democrats say the conservatives cannot win what they predict will be a three-party contest.  campaigning activity is accelerating ahead of the general election  which is widely tipped for may but could be any time before june 2006. labour on monday postponed a launch of election posters because of the asian tsunami disaster. mr howard published the introduction to the tory manifesto. other chapters will follow in coming weeks.  in a speech in northamptonshire  he said the  forgotten majority  made up the backbone of britain. they were people who were saving for their first home or their retirement  working hard and accepting their responsibilities. he says in the manifesto foreword:  they have been forgotten  neglected and taken for granted by mr blair.   saying britain must change direction  mr howard argues government is too big and cannot continue  down the path of ever rising taxes . he promises to ensure frontline professionals  parents and patients make the key decisions rather than whitehall  bureaucrats . and he says the tories would get a grip on crime  immigration and disorder.  the decline of responsibility and the proliferation of so-called  human rights  have left us in a moral quagmire  unable to get a grip on rising crime and disorder   he says.  mr howard says he will produce a timetable for action so people can hold him to account but on issues like taxation he has so far only published options  not specific plans. mr howard told bbc news:  i m determined to lower taxes but i m also determined not to make any promises i can t keep.  the tories were unveiling material months ahead of the expected election because they needed time to make voters aware of their policies  he said. he was asked if tory support for the government on iraq and identity cards had given the lib dems the chance to portray themselves as the opposition to labour. mr howard argued the only test for his policies was whether they were best for britain. it had nothing to do with putting  clear blue water  between himself and his opponents.  labour s election slogan will be:  britain s working  don t let the tories wreck it again . campaign coordinator alan milburn accused the tories of  launching thatcherism in instalments  while labour helped the hard working majority of families. lib dem president simon hughes said his party had set out its election stance in september.  the liberal democrats will ask the british people for support this year as the party with the policies best able to deliver freedom and fairness and to restore trust   he said.,politics
21,security warning over  fbi virus  the us federal bureau of investigation is warning that a computer virus is being spread via e-mails that purport to be from the fbi.  the e-mails show that they have come from an fbi.gov address and tell recipients that they have accessed illegal websites. the messages warn that their internet use has been monitored by the fbi s internet fraud complaint center. an attachment in the e-mail contains the virus  the fbi said. the message asks recipients to click on the attachment and answer some questions about their internet use. but rather than being a questionnaire  the attachment contains a virus that infects the recipient s computer  according to the agency. it is not clear what the virus does once it has infected a computer. users are warned never to open attachment from unsolicited e-mails or from people they do not know.   recipients of this or similar solicitations should know that the fbi does not engage in the practice of sending unsolicited e-mails to the public in this manner   the fbi said in a statement. the bureau is investigating the phoney e-mails. the agency earlier this month shut down fbi.gov accounts  used to communicate with the public  because of a security breach. a spokeswoman said the two incidents appear to be unrelated.,tech
1081,outkast win at mtv europe awards us hip-hop duo outkast have capped a year of award glory with three prizes at the mtv europe music awards in rome.  they won best group  best video and best song for hit hey ya! after getting five nominations. r&b singer usher won best male and best album for confessions  while uk rock band muse were named best alternative act and best british artists. outkast will add their awards to the four they won at the us mtv awards in august and three grammys in february. not only was hey ya! one of the biggest global hits of last year  but outkast have been widely acclaimed as one of the most exciting and innovative acts in music. their double cd album speakerboxxx/the love below  which saw andre 3000 and big boi each produce one disc  was hailed as the album of 2003 by many critics.  andre 3000 thanked fans  for supporting outkast throughout the years .  we really appreciate it   he said.  i hope you don t get tired of us  but we only do what we do.  also competing for best group had been the beastie boys  the black eyed peas  d12 and maroon 5. and anastacia  britney spears  maroon 5 and ludacris had been on the shortlist for best song.  outkast did lose out in the contest for best album - which was won by usher  another award favourite. usher  who performed a duet with alicia keys  also beat off competition from justin timberlake  jay-z  nelly and robbie williams to take the best male crown. he had four nominations going into the ceremony  with seven artists nominated in three categories.  eminem s group  d12  were surprise winners in the best hip-hop category  beating the beastie boys  jay-z  kanye west and nelly. eminem told the crowd:  d12 finally won an award  thank you very much.  the rapper opened the show with a performance of his songs like toy soldiers and just lose it  for which he was joined on stage by a crowd of children. the black eyed peas - who had a global hit with where is the love  - picked up the prize for best pop act  beating anastacia  avril lavigne  robbie williams and britney spears. spears was named best female  sending a message of thanks on video saying the award  means so much to me . alicia keys  anastasia  avril lavigne and beyonce knowles had featured alongside her in that contest.  linkin park singer chester bennington described their prize for best rock band as  quite an honour  while muse said their win for best alternative act was  a real surprise for us . muse were also named best uk and ireland act  ahead of franz ferdinand  natasha bedingfield  jamelia and the streets. referring to the fact that winners of 11 of the 12 main awards were from the us  muse singer matt bellamy said:  there needs to be more european bands.  the 11th annual awards were hosted by hip-hop artist xzibit and watched by 6 000 people at the tor di valle arena  plus millions more on tv around the world. the ceremony featured performances from the beastie boys  who entered the stage on bicycles and skateboards  no doubt singer gwen stefani being lowered from a giant clock and nelly doing a duet with pharrell williams. mtv also organised a huge open-air concert featuring anastacia and the cure outside the italian capital s ancient colosseum  with some estimates putting the attendance there at 200 000. last year s big winner at the mtv europe awards  held in edinburgh  scotland  was justin timberlake  who walked away with three trophies.,entertainment
1475,lufthansa may sue over bush visit german airline lufthansa may sue federal agencies for damages after the arrival of us president george w bush disrupted flights.  lufthansa said that it may lose millions of euros as a result of air force one landing at frankfurt airport. flights were affected for an hour on wednesday morning  double the time that had been expected  leading to cancellations and delays. lufthansa accounts for six out of every 10 planes using frankfurt s airport.   we are doing research into the possibilities we have   michael lamberty  a lufthansa spokesman told the bbc.  we are checking if there is action to be taken and in which courts it could be taken.  mr lamberty explained that the company did not plan to pursue germany s air traffic controllers  organisation or the airport authority but wanted instead to see if it was possible to sue the german federal agencies that gave the orders. the company said that it had to cancel 77 short and medium-distance flights  affecting about 5 000 passengers. long-haul travellers were not disrupted.  central to the problem was that instead of half an hour  the arrival of president bush on the german leg of his european tour took the best part of an hour  lufthansa said. during that time  restrictions were put on planes taxiing  taking off and landing at frankfurt s rhein-main airport. the extra time taken by president bush and his entourage meant that there was a knock-on effect that led to significant delays. mr lamberty said that 92 outgoing flights and 86 income flights were delayed by an average of an hour following president bush s arrival  affecting almost 17 000 passengers. despite the problems  mr lamberty said that it was not certain that lufthansa would take legal action.,business
257,lib dems  new election pr chief the lib dems have appointed a senior figure from bt to be the party s new communications chief for their next general election effort.  sandy walkington will now work with senior figures such as matthew taylor on completing the party manifesto. party chief executive lord rennard said the appointment was a  significant strengthening of the lib dem team . mr walkington said he wanted the party to be ready for any  mischief  rivals or the media tried to throw at it.   my role will be to ensure this new public profile is effectively communicated at all levels   he said.  i also know the party will be put under scrutiny in the media and from the other parties as never before - and we will need to show ourselves ready and prepared to counter the mischief and misrepresentation that all too often comes from the party s opponents.  the party is already demonstrating on every issue that it is the effective opposition.  mr walkington s new job title is director of general election communications.,politics
2143,rush future at chester uncertain ian rush s future as chester manager is uncertain after he and assistant mark aizlewood refused a severance package.  chester have won only two of their last 10 league games but chairman steve vaughan claims he cannot afford to sack the 43-year-old liverpool legend. vaughan said:  i offered a financial settlement so they could resign with dignity but an obvious action is to dismiss them.  i haven t because of the finances  so technically they re still employees.  vaughan claimed that aizlewood had  verbally agreed  to the offer. but the chester chairman added:  after they discussed the offer with their solicitor  who also acts as their agent  they decided to withdraw the verbal agreement  which was disappointing.  rush was appointed at the end of august following the departure of former liverpool team-mate mark wright  who guided chester to the conference title last season. chester were bottom of league two when rush took over but the former liverpool striker enjoyed an impressive start to managerial life  taking the club into the third round of the fa cup and winning the manager-of-the-month award for october. chester s downturn in form culminated in a 5-0 defeat at shrewsbury that leaves them hovering just above the league two relegation zone.,sport
1887,thompson says gerrard should stay liverpool legend phil thompson has pleaded with steve gerrard to reject any overtures from chelsea.  the ex-reds assistant boss also warned that any honours won at chelsea would be cheapened by the bid to buy success. he told bbc radio five live:  liverpool would think about any bid made but it will all be down to steve in the end.  but it wouldn t have that same sweet feeling at chelsea  where it s all money-orientated and about simply buying the best.  thompson reacted sharply to some liverpool supporters  who criticised gerrard s performance in the carling cup final against chelsea. a number of fans questioned gerrard s commitment and sarcastically branded his own goal in liverpool s 3-2 defeat as his first goal for chelsea.  thompson added:  i heard those comments from so-called supporters and they were diabolical  absolutely outrageous.  stevie carried the club last year and this year. he s always put liverpool first.  thompson  who savoured seven title-winning seasons and two european cup triumphs during his anfield playing career  is confident that the lure of champions league football will keep gerrard at anfield.  i hope champions league football will beckon for liverpool - either as winners or as finishing fourth in the premiership - and he will commit himself.  there has been a lot of soul-searching the way things have gone lately.  i hope he s hardening to the fact he will have big decisions to make but i hope it is to the benefit of steven gerrard and i hope it is worthwhile for liverpool.,sport
423,scots suffer another injury blow scotland s back row crisis has worsened ahead of the rbs six nations with news that scott gray will miss out on the opening matches.  the borders flanker has a knee injury and joins donnie macfadyen and allister hogg on the sidelines. star number eight simon taylor will miss at least the first two games after damaging an ankle during his comeback. scott macleod (ankle ligaments) and jon petrie (cartilage) are also doubtful for the opener in paris on 5 february. gray  26  who won his first cap against australia at murrayfield last year  was hurt in club action at the weekend. scotland doctor james robson said:  a scan has shown damage to the medial ligaments of scott s right knee ruling him out of the first part of the championship.  we will seek further specialist advice in due course to determine just how long scott may be out for.  another potential option  glasgow flanker andrew wilson  has been ruled out for a month after damaging ligaments in both knees against northampton recently.  flanker jason white and prop tom smith have also been suffering from flu and missed this week s training sessions.  we have got plenty of good  young players coming through and we have got to look at the opportunities it represents for them  rather than the negatives   williams added. williams could now turn to edinburgh pair alasdair strokosch and simon cross. leeds tykes flanker jon dunbar also trained with the squad but is still awaiting verification of his eligibility to qualify for scotland.,sport
1790,us tv special for tsunami relief a us television network will screen a celebrity tv special to benefit the tsunami relief effort in south asia.  nbc will encourage viewer donations during an hour-long show featuring musical performances on 15 january. actress sandra bullock has donated $1m (£525 000) to the american red cross and actor leonardo dicaprio pledged a  sizable  aid contribution to unicef. meanwhile 70 hong kong music and movie stars re-recorded we are the world in mandarin and cantonese to raise funds.  the song will not be released as a single  but will be played regularly during a chinese telethon on friday in aid of victims of the boxing day disaster. around 140 000 people were killed and five million left homeless or without food and water after an earthquake below the indian ocean sent waves crashing into coastal communities in 11 countries.  the united nations warned that the number killed in the disaster could rise sharply  with aid yet to reach some remote areas. performers have yet to be confirmed for nbc s aid relief benefit later this month. it follows a two-hour telethon carried by all four major us television networks 10 days after the 11 september terror attacks in 2001. america: a tribute to heroes raised more than $150m (£79m) to help victims of the suicide attacks on the world trade center and pentagon.,entertainment
364,nortel in $300m profit revision telecoms equipment maker nortel networks has sharply revised downwards its profits for the 2003 fiscal year.  in a long-awaited filing  nortel said it had made $434m (£231m)  compared to the previously reported $732m. but the figures - revised after an audit which led to the sacking of the canadian firm s chief - showed revenue was about 4% higher than first thought. nortel shares  which have lost nearly 50% of their value since last year  climbed 1.46% in toronto on tuesday. nortel s head frank dunn and two other executives were fired in january last year after the company announced it had conducted the internal audit. securities and police authorities in both the us and canada are still conducting inquiries into the accounts.  nortel also issued new figures for the 2001-2002 period  which they had previously indicated had understated losses.  with the completion of our restatements we have a solid foundation on which to move forward with our business   said nortel president and chief executive bill owens.  the restatement has been a monumental task  both complex and demanding.  the company also said 12 senior executives - none of whom were involved directly in the accounting of the revised figures - have voluntarily agreed to repay to bonuses awarded in 2003 totalling $8.6m. nortel added:  these members of the core executive team share the board s deep disappointment over the circumstances that led to the restatement.,business
2043,injury sidelines philippoussis mark philippoussis withdrew from the sydney international tennis tournament as expected on sunday after suffering a groin injury during the hopman cup.  his participation in the australian open  which begins on 17 january in melbourne  also remains in doubt. defending women s champion justine henin-hardenne is also out of the sydney event because of a knee injury. in the only main draw men s or women s singles match on sunday  nathalie dechy beat american lisa raymond 7-5 6-3. number one men s seed lleyton hewitt begins his quest for a fourth sydney title on tuesday when he plays karol beck. lindsay davenport  top seed in the women s draw  has been handed a first-round bye and plays france s dechy in the second round on tuesday.,sport
1871,jones doping probe begins an investigation into doping claims against marion jones has been opened by the international olympic committee.  ioc president jacques rogge has set up a disciplinary body to look into claims by victor conte  of balco laboratories. jones  who says she is innocent  could lose all her olympic medals after conte said he gave her performance-enhancing drugs before the sydney olympics. but rogge said it was too early to speculate about that  hoping only that  the truth will emerge .  any decision on the medals would be taken by the ioc s executive board and could hinge on interpretation of a rule stating that olympic decisions can only be challenged within three years of the games closing. the sydney olympics ended more than four years ago  but world anti-doping agency chief dick pound said the rule may not apply because the allegations are only coming out now.  we will find a way to deal with that   pound said. in a statement released through her attorney rich nichols  jones repeated her innocence and vowed she would be cleared.  victor conte s allegations are not true and the truth will be revealed for the world to see as the legal process moves forward   she said.  conte is someone who is under federal indictment and has a record of issuing contradictory  inconsistent statements.,sport
